rank,prev_rank,name,league,off,def,spi
325,326,Fortuna Sittard,30,1.42,1.68,40.44
326,327,AaB,16,1.19,1.43,40.16
327,329,Djurgardens IF,2,1.09,1.3,40.14
328,328,Melbourne City,11,1.14,1.36,40.13
329,330,Odense BK,16,1.15,1.38,40.12
330,331,Gamba Osaka,14,1.24,1.49,40.11
331,332,Rapid Vienna,1,1.18,1.42,40.1
332,333,Los Angeles Galaxy,3,1.54,1.83,40.09
333,334,Granada,26,1.01,1.22,40.05
334,335,Cerezo Osaka,14,1.07,1.28,40.05
335,339,Boavista,27,1.01,1.22,40.0
336,293,Luton Town,35,1.21,1.46,39.9
337,338,FC Lugano,10,1.29,1.56,39.83
338,340,Holstein Kiel,31,1.42,1.71,39.81
339,341,Lobos de la BUAP,28,1.2,1.46,39.77
340,342,FC Groningen,30,1.2,1.46,39.74
341,343,Guangzhou RF,12,1.41,1.7,39.7
342,344,Montreal Impact,3,1.17,1.43,39.69
343,345,Atlas,28,1.11,1.35,39.66
344,348,Real Salt Lake,3,1.37,1.67,39.39
345,349,Sarpsborg,13,1.24,1.52,39.36
346,350,St Gallen,10,1.45,1.78,39.35
347,337,Sunderland,35,1.23,1.51,39.32
348,347,Rotherham United,17,1.21,1.49,39.32
349,351,Yokohama F. Marinos,14,1.4,1.71,39.28
350,352,DC United,3,1.28,1.58,39.19
351,354,Aldosivi,19,1.06,1.31,39.11
352,355,Caykur Rizespor,34,1.23,1.53,39.03
353,356,Aris Salonika,24,1.16,1.44,39.03
354,357,Rosario Central,19,1.01,1.27,39.0
355,336,Palermo,21,1.08,1.35,38.92
356,358,KV Oostende,6,1.14,1.43,38.9
357,359,ADO Den Haag,30,1.37,1.71,38.85
358,353,Maritimo,27,0.99,1.25,38.84
359,346,Kilmarnock,33,1.16,1.45,38.82
360,360,SK Brann,13,1.22,1.52,38.78
361,361,San Martin de Tucuman,19,1.07,1.35,38.77
362,362,FC Nordsjaelland,16,1.32,1.66,38.64
363,363,Gimnasia La Plata,19,1.04,1.31,38.62
364,364,Albacete,26,0.99,1.28,38.31
365,365,Henan Jianye,12,1.08,1.38,38.27
366,366,Krylia Sovetov,18,1.04,1.34,38.23
367,368,Panionios,24,1.05,1.36,37.98
368,369,Belgrano Cordoba,19,0.99,1.29,37.94
369,370,Dalian Aerbin,12,1.16,1.5,37.84
370,371,Tianjin Teda,12,1.23,1.58,37.84
371,372,SV Mattersburg,1,1.34,1.72,37.75
372,382,Newcastle Jets,11,1.33,1.71,37.75
373,373,Erzurumspor,34,1.05,1.37,37.73
374,374,Osasuna,26,0.98,1.28,37.72
375,375,SC Paderborn,31,1.36,1.75,37.67
376,377,Metallurg Krasnoyarsk,18,1.1,1.45,37.36
377,378,Consadole Sapporo,14,1.24,1.62,37.34
378,379,VVV Venlo,30,1.15,1.51,37.33
379,380,F91 Dudelange,22,1.35,1.76,37.32
380,381,Orange County SC,20,1.41,1.83,37.31
381,383,Kristiansund BK,13,1.32,1.73,37.09
382,397,Perth Glory,11,1.27,1.68,36.99
383,384,Haugesund,13,1.1,1.47,36.98
384,385,Troyes,8,1.1,1.48,36.91
385,386,Willem II,30,1.44,1.89,36.8
386,387,New England Revolution,3,1.19,1.6,36.67
387,388,Feirense,27,0.93,1.27,36.54
388,389,Grasshoppers Zürich,10,1.13,1.54,36.52
389,390,Patronato,19,1.12,1.52,36.51
390,445,Portsmouth,35,1.16,1.57,36.5
391,391,Eupen,6,1.12,1.53,36.46
392,392,Houston Dynamo,3,1.28,1.73,36.4
393,393,Sagan Tosu,14,0.78,1.09,36.36
394,394,Mouscron-Peruwelz,6,1.0,1.38,36.2
395,395,Orlando Pirates,15,0.98,1.36,36.19
