rank,prev_rank,name,league,off,def,spi
103,103,Strasbourg,25,1.57,0.91,61.29
104,104,Bordeaux,25,1.52,0.86,61.26
105,106,Internacional,5,1.51,0.86,61.16
106,107,Zenit St Petersburg,18,1.64,0.98,61.07
107,108,Malmo FF,2,1.69,1.02,61.07
108,109,Trabzonspor,34,1.95,1.25,61.07
109,112,River Plate,19,1.51,0.89,60.49
110,113,Shanghai SIPG,12,1.87,1.21,60.46
111,129,Sheffield United,17,1.6,0.97,60.34
112,114,Tigres UANL,28,1.61,0.99,60.29
113,149,Burnley,7,1.7,1.06,60.22
114,115,Besiktas,34,1.79,1.15,60.2
115,116,Spartak Moscow,18,1.67,1.07,59.62
116,117,Atletico Mineiro,5,1.58,0.98,59.55
117,118,Atlético Paranaense,5,1.51,0.93,59.44
118,120,Dinamo Zagreb,22,1.54,0.96,59.29
119,122,Angers,25,1.51,0.94,59.0
120,123,SC Freiburg,23,1.68,1.1,58.96
121,124,Racing Club,19,1.53,0.97,58.95
122,121,Genoa,4,1.68,1.1,58.94
123,133,Cardiff City,7,1.6,1.03,58.89
124,111,Cagliari,4,1.61,1.04,58.83
125,125,Basel,10,1.99,1.38,58.82
126,126,Kawasaki Frontale,14,1.67,1.1,58.81
127,105,Leeds United,17,1.55,0.99,58.8
128,127,Boca Juniors,19,1.53,0.97,58.79
129,128,Fulham,7,1.66,1.1,58.48
130,130,AS Monaco,25,1.51,0.96,58.48
131,143,Udinese,4,1.46,0.93,58.36
132,131,Nimes,25,1.6,1.06,58.21
133,132,AIK,2,1.34,0.83,58.15
134,110,Huddersfield Town,7,1.45,0.93,58.04
135,119,West Bromwich Albion,17,1.65,1.12,57.85
136,135,Reims,25,1.38,0.89,57.54
137,137,Kasimpasa,34,2.09,1.55,57.4
138,138,São Paulo,5,1.34,0.85,57.4
139,134,Spal,4,1.52,1.02,57.38
140,140,Fortuna Düsseldorf,23,1.66,1.16,57.11
141,139,Norwich City,17,1.66,1.16,57.08
142,136,Aston Villa,17,1.73,1.23,57.01
143,141,Yeni Malatyaspor,34,1.51,1.03,56.93
144,142,FC Astana,22,1.67,1.18,56.76
145,144,VfB Stuttgart,23,1.58,1.11,56.49
146,145,Atromitos,24,1.49,1.04,56.45
147,146,BK Hacken,2,1.61,1.15,56.37
148,147,Guingamp,25,1.47,1.02,56.36
149,148,Santos,5,1.39,0.94,56.35
150,162,Bologna,4,1.5,1.06,56.15
151,150,Rubin Kazan,18,1.22,0.79,55.98
152,152,Cruzeiro,5,1.35,0.92,55.82
153,153,Bahía,5,1.33,0.91,55.75
154,151,Empoli,4,1.66,1.22,55.75
155,154,Toulouse,25,1.44,1.03,55.37
156,155,Dijon FCO,25,1.47,1.06,55.15
157,157,Jablonec,22,1.46,1.06,55.07
158,168,Middlesbrough,17,1.28,0.89,54.98
159,158,LASK Linz,1,1.6,1.2,54.91
160,159,Dinamo Moscow,18,1.2,0.83,54.81
161,160,Beijing Guoan,12,1.71,1.31,54.79
162,164,Hannover 96,23,1.67,1.29,54.24
163,165,AZ,30,1.76,1.39,54.11
164,166,Caen,25,1.35,1.0,53.92
165,172,Chievo Verona,4,1.43,1.08,53.85
166,156,Stoke City,17,1.4,1.06,53.75
167,161,Parma,4,1.41,1.06,53.68
168,169,CA Independiente,19,1.43,1.09,53.6
169,170,IFK Norrkoping,2,1.59,1.25,53.54
170,171,Toluca,28,1.5,1.16,53.39
171,179,Brentford,17,1.46,1.14,53.21
172,173,Monterrey,28,1.38,1.06,53.13
173,174,Molde,13,1.85,1.52,53.13
174,175,Jiangsu Suning FC,12,1.46,1.15,53.0
175,167,Guimaraes,27,1.33,1.02,52.94
176,163,Birmingham,17,1.35,1.04,52.88
177,176,1. FC Nürnberg,23,1.51,1.21,52.72
178,177,Rostov,18,1.03,0.74,52.69
179,178,Thun,10,1.74,1.44,52.69
180,180,Panathinaikos,24,1.37,1.07,52.61
181,181,Amiens,25,1.32,1.03,52.48
182,182,Atlanta United FC,3,1.56,1.27,52.39
183,183,FC Cologne,31,1.67,1.38,52.34
184,184,FC Utrecht,30,1.7,1.41,52.25
185,200,Rangers,33,1.53,1.25,52.21
186,185,Konyaspor,34,1.32,1.04,52.17
187,186,Corinthians,5,1.18,0.9,52.17
188,187,Defensa y Justicia,19,1.27,0.99,52.09
189,188,SK Sturm Graz,1,1.41,1.13,52.03
190,189,Ceará,5,1.25,0.98,52.02
191,190,St. Truidense,6,1.45,1.18,51.91
192,192,Fenerbahce,34,1.47,1.21,51.66
193,193,KAA Gent,6,1.63,1.37,51.64
194,194,Kashima Antlers,14,1.48,1.23,51.62
195,195,Sporting Kansas City,3,1.54,1.28,51.61
196,196,Sivasspor,34,1.55,1.3,51.6
197,197,Vasco da Gama,5,1.27,1.02,51.58
198,198,BATE Borisov,22,1.54,1.29,51.41
199,199,Anderlecht,6,1.56,1.31,51.37
200,191,Derby County,17,1.39,1.14,51.36
201,201,Botafogo,5,1.27,1.03,51.25
202,202,Santos Laguna,28,1.45,1.21,51.23
